"","horizon","age_id","scenario_id","sample","location","target_variable","value"
"445","1 wk","older","A",55,"LI","inc infection",0
"446","1 wk","older","A",56,"LI","inc infection",0
"447","1 wk","older","A",57,"LI","inc infection",0
"448","1 wk","older","A",58,"LI","inc infection",0
"449","1 wk","older","A",59,"LI","inc infection",0
"450","1 wk","older","A",60,"LI","inc infection",0
"451","1 wk","older","A",61,"LI","inc infection",0
"452","1 wk","older","A",62,"LI","inc infection",0
"453","1 wk","older","A",73,"LI","inc infection",0
"454","1 wk","older","A",74,"LI","inc infection",0
"455","1 wk","older","A",75,"LI","inc infection",0
"456","1 wk","older","A",76,"LI","inc infection",0
"457","1 wk","older","A",77,"LI","inc infection",0
"458","1 wk","older","A",78,"LI","inc infection",0
"459","1 wk","older","A",79,"LI","inc infection",0
"460","1 wk","older","A",80,"LI","inc infection",0
"461","1 wk","older","B",1,"LI","inc infection",0
"462","1 wk","older","B",2,"LI","inc infection",0
"463","1 wk","older","B",3,"LI","inc infection",0
"464","1 wk","older","B",4,"LI","inc infection",0
"465","1 wk","older","B",5,"LI","inc infection",0
"466","1 wk","older","B",6,"LI","inc infection",0
"467","1 wk","older","B",7,"LI","inc infection",0
"468","1 wk","older","B",8,"LI","inc infection",0
"469","1 wk","older","B",19,"LI","inc infection",0
"470","1 wk","older","B",20,"LI","inc infection",0
"471","1 wk","older","B",21,"LI","inc infection",0
"472","1 wk","older","B",22,"LI","inc infection",0
"473","1 wk","older","B",23,"LI","inc infection",0
"474","1 wk","older","B",24,"LI","inc infection",0
"475","1 wk","older","B",25,"LI","inc infection",0
"476","1 wk","older","B",26,"LI","inc infection",0
"477","1 wk","older","B",37,"LI","inc infection",0
"478","1 wk","older","B",38,"LI","inc infection",0
"479","1 wk","older","B",39,"LI","inc infection",0
"480","1 wk","older","B",40,"LI","inc infection",0
"481","1 wk","older","B",41,"LI","inc infection",0
"482","1 wk","older","B",42,"LI","inc infection",0
"483","1 wk","older","B",43,"LI","inc infection",0
"484","1 wk","older","B",44,"LI","inc infection",0
"485","1 wk","older","B",55,"LI","inc infection",0
"486","1 wk","older","B",56,"LI","inc infection",0
"487","1 wk","older","B",57,"LI","inc infection",0
"488","1 wk","older","B",58,"LI","inc infection",0
"489","1 wk","older","B",59,"LI","inc infection",0
"490","1 wk","older","B",60,"LI","inc infection",0
"491","1 wk","older","B",61,"LI","inc infection",0
"492","1 wk","older","B",62,"LI","inc infection",0
"493","1 wk","older","B",73,"LI","inc infection",0
"494","1 wk","older","B",74,"LI","inc infection",0
"495","1 wk","older","B",75,"LI","inc infection",0
"496","1 wk","older","B",76,"LI","inc infection",0
"497","1 wk","older","B",77,"LI","inc infection",0
"498","1 wk","older","B",78,"LI","inc infection",0
"499","1 wk","older","B",79,"LI","inc infection",0
"500","1 wk","older","B",80,"LI","inc infection",0
"501","1 wk","older","C",1,"LI","inc infection",0
"502","1 wk","older","C",2,"LI","inc infection",0
"503","1 wk","older","C",3,"LI","inc infection",0
"504","1 wk","older","C",4,"LI","inc infection",0
"505","1 wk","older","C",5,"LI","inc infection",0
"506","1 wk","older","C",6,"LI","inc infection",0
"507","1 wk","older","C",7,"LI","inc infection",0
"508","1 wk","older","C",8,"LI","inc infection",0
"509","1 wk","older","C",19,"LI","inc infection",0
"510","1 wk","older","C",20,"LI","inc infection",0
"511","1 wk","older","C",21,"LI","inc infection",0
"512","1 wk","older","C",22,"LI","inc infection",0
"513","1 wk","older","C",23,"LI","inc infection",0
"514","1 wk","older","C",24,"LI","inc infection",0
"515","1 wk","older","C",25,"LI","inc infection",0
"516","1 wk","older","C",26,"LI","inc infection",0
"517","1 wk","older","C",37,"LI","inc infection",0
"518","1 wk","older","C",38,"LI","inc infection",0
"519","1 wk","older","C",39,"LI","inc infection",0
"520","1 wk","older","C",40,"LI","inc infection",0
"521","1 wk","older","C",41,"LI","inc infection",0
"522","1 wk","older","C",42,"LI","inc infection",0
"523","1 wk","older","C",43,"LI","inc infection",0
"524","1 wk","older","C",44,"LI","inc infection",0
"525","1 wk","older","C",55,"LI","inc infection",0
"526","1 wk","older","C",56,"LI","inc infection",0
"527","1 wk","older","C",57,"LI","inc infection",0
"528","1 wk","older","C",58,"LI","inc infection",0
"529","1 wk","older","C",59,"LI","inc infection",0
"530","1 wk","older","C",60,"LI","inc infection",0
"531","1 wk","older","C",61,"LI","inc infection",0
"532","1 wk","older","C",62,"LI","inc infection",0
"533","1 wk","older","C",73,"LI","inc infection",0
"534","1 wk","older","C",74,"LI","inc infection",0
"535","1 wk","older","C",75,"LI","inc infection",0
"536","1 wk","older","C",76,"LI","inc infection",0
"537","1 wk","older","C",77,"LI","inc infection",0
"538","1 wk","older","C",78,"LI","inc infection",0
"539","1 wk","older","C",79,"LI","inc infection",0
"540","1 wk","older","C",80,"LI","inc infection",0
"541","1 wk","older","D",1,"LI","inc infection",0
"542","1 wk","older","D",2,"LI","inc infection",0
"543","1 wk","older","D",3,"LI","inc infection",0
